Designator,Mid X,Mid Y,Rotation,Layer
B1,41.55,-84.96,90.0,top
C1,34.9,-73.74,180.0,top
C2,38.37,-74.92,45.0,top
C5,41.19,-75.43,330.0,top
C6,40.42,-73.04,180.0,top
C7,43.03,-73.04,0.0,top
E1,42.03765,-68.98761,0.0,top
J1,31.84,-83.03,270.0,top
R1,37.07,-88.76,180.0,top
R2,43.88,-78.37,45.0,top
R3,47.16,-78.65,150.0,top
R4,39.38,-89.81,270.0,top
S1,49.39,-83.28,90.0,bottom
U1,34.53,-76.12,0.0,top
U2,45.68,-76.11,270.0,top
U3,40.735,-76.125,0.0,bottom
U4,41.725,-89.8,270.0,top
Y1,50.9125,-74.48,180.0,top
